reaction_smiles,activation_energy,solvent_smiles,temperature
ClC1=CC=C(C=C1N(=O)=O)N(=O)=O.CCCCN>>CCCCNC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,20.217499090147133,C(C)#N,298.0
ClC1=C(C=CC=C1N(=O)=O)N(=O)=O.CCCCN>>CCCCNC1=C(C=CC=C1N(=O)=O)N(=O)=O,19.897007218293517,C(C)#N,298.0
ClC1=NC=C(C=C1)N(=O)=O.CCCCN>>CCCCNC1=NC=C(C=C1)N(=O)=O,22.076774892920106,C(C)#N,298.0
ClC1=C(C=CC=N1)N(=O)=O.CCCCN>>CCCCNC1=NC=CC=C1N(=O)=O,21.803005105119112,C(C)#N,298.0
FC(F)(F)C1=CC=C(Cl)C(=C1)N(=O)=O.CCCCN>>CCCCNC1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,23.083646091522862,C(C)#N,298.0
N(=O)(=O)C1=CC=C(Cl)C(=C1)C#N.CCCCN>>CCCCNc1ccc(cc1C#N)N(=O)=O,22.93498606776186,C(C)#N,298.0
FC1=CC=C(C=C1N(=O)=O)N(=O)=O.CCCCN>>CCCCNC1=C(C=C(C=C1)N(=O)=O)N(=O)=O,16.131354609970828,C(C)#N,298.0
FC(F)(F)C1=CC=C(F)C(=C1)N(=O)=O.CCCCN>>CCCCNC1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,18.678669011268152,C(C)#N,298.0
N(=O)(=O)C1=CC=C(F)C(=C1)C(F)(F)(F).CCCCN>>CCCCNc1ccc(cc1C(F)(F)F)N(=O)=O,20.752903204269842,C(C)#N,298.0
N(=O)(=O)C1=CC=C(F)C(=C1)C#N.CCCCN>>CCCCNc1ccc(cc1C#N)N(=O)=O,18.78651768175848,C(C)#N,298.0
ClC1=CC=C(C=C1N(=O)=O)N(=O)=O.C3CCCN3>>C3CCCN3C1=C(C=C(C=C1)N(=O)=O)N(=O)=O,17.26927318833926,C(C)#N,298.0
ClC1=C(C=CC=C1N(=O)=O)N(=O)=O.C3CCCN3>>C3CCCN3C1=C(C=CC=C1N(=O)=O)N(=O)=O,19.140156202815454,C(C)#N,298.0
ClC1=NC=C(C=C1)N(=O)=O.C3CCCN3>>C3CCCN3C1=NC=C(C=C1)N(=O)=O,18.972678528653507,C(C)#N,298.0
ClC1=C(C=CC=N1)N(=O)=O.C3CCCN3>>C3CCCN3C1=NC=CC=C1N(=O)=O,18.455488154721042,C(C)#N,298.0
FC(F)(F)C1=CC=C(Cl)C(=C1)N(=O)=O.C3CCCN3>>C3CCCN3C1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,20.154510916984673,C(C)#N,298.0
N(=O)(=O)C1=CC=C(Cl)C(=C1)C#N.C3CCCN3>>C3CCCN3c1ccc(cc1C#N)N(=O)=O,20.040717171326918,C(C)#N,298.0
FC1=CC=C(C=C1N(=O)=O)N(=O)=O.C3CCCN3>>C3CCCN3C1=C(C=C(C=C1)N(=O)=O)N(=O)=O,13.670835245178775,C(C)#N,298.0
FC(F)(F)C1=CC=C(F)C(=C1)N(=O)=O.C3CCCN3>>C3CCCN3C1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,16.472438713357572,C(C)#N,298.0
N(=O)(=O)C1=CC=C(F)C(=C1)C(F)(F)(F).C3CCCN3>>C3CCCN3c1ccc(cc1C(F)(F)F)N(=O)=O,19.682169659440973,C(C)#N,298.0
ClC1=CC=C(C=C1N(=O)=O)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=C(C=C(C=C1)N(=O)=O)N(=O)=O,17.811286644964778,C(C)#N,298.0
ClC1=C(C=CC=C1N(=O)=O)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=C(C=CC=C1N(=O)=O)N(=O)=O,19.655875108327447,C(C)#N,298.0
ClC1=NC=C(C=C1)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=NC=C(C=C1)N(=O)=O,19.44232488404175,C(C)#N,298.0
ClC1=C(C=CC=N1)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=NC=CC=C1N(=O)=O,19.407518963063186,C(C)#N,298.0
FC(F)(F)C1=CC=C(Cl)C(=C1)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,20.901563228030845,C(C)#N,298.0
N(=O)(=O)C1=CC=C(Cl)C(=C1)C#N.C3CCNCC3>>C3CCN(CC3)c1ccc(cc1C#N)N(=O)=O,20.47078830790626,C(C)#N,298.0
FC1=CC=C(C=C1N(=O)=O)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=C(C=C(C=C1)N(=O)=O)N(=O)=O,14.460528426182956,C(C)#N,298.0
FC(F)(F)C1=CC=C(F)C(=C1)N(=O)=O.C3CCNCC3>>C3CCN(CC3)C1=C(C=C(C=C1)C(F)(F)F)N(=O)=O,16.985591324171946,C(C)#N,298.0
N(=O)(=O)C1=CC=C(F)C(=C1)C(F)(F)(F).C3CCNCC3>>C3CCN(CC3)c1ccc(cc1C(F)(F)F)N(=O)=O,21.04421781949974,C(C)#N,298.0
N(=O)(=O)C1=CC=C(F)C(=C1)C#N.C3CCNCC3>>C3CCN(CC3)c1ccc(cc1C#N)N(=O)=O,17.883809596552055,C(C)#N,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.Nc1ccc([S-])cc1>>Nc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,18.34763948423071,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.COc1ccc([S-])cc1>>COc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,18.81066511617705,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.Cc1ccc([S-])cc1>>Cc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.050509891576272,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1c(C)cc([S-])cc1>>c1c(C)cc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.42466596074982,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1ccc([S-])cc1>>c1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.768890012529692,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.Fc1ccc([S-])cc1>>Fc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.794336086328247,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1c(OC)cc([S-])cc1>>c1c(OC)cc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.750498997560154,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.Clc1ccc([S-])cc1>>Clc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.16051634927678,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1c(C(=O)C)cc([S-])cc1>>c1c(C(=O)C)cc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.040717171326918,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.Brc1ccc([S-])cc1>>Brc1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.23778210578195,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1c(Cl)cc([S-])cc1>>c1c(Cl)cc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.49154587631422,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1c(Br)cc([S-])cc1>>c1c(Br)cc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.440956945060346,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.CC(=O)c1ccc([S-])cc1>>CC(=O)c1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.494773268347025,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1cc(C)c([S-])cc1>>c1cc(C)c(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.695768649156427,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.c1cc(N)c([S-])cc1>>c1cc(N)c(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,19.42466596074982,C(C)O,298.0
Clc1ccc(cc1N(=O)=O)N(=O)=O.N(=O)(=O)c1ccc([S-])cc1>>N(=O)(=O)c1ccc(Sc2ccc(cc2N(=O)=O)N(=O)=O)cc1,20.860751874760172,C(C)O,298.0
COc1sc(cc1S(=O)(=O)C)N(=O)(=O).C1CCNCC1>>CS(=O)(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),16.27123472534954,CS(=O)C,293.0
COc1sc(cc1C(=O)OC)N(=O)(=O).C1CCNCC1>>COC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),17.502598286654706,CS(=O)C,293.0
COc1sc(cc1C(=O)N)N(=O)(=O).C1CCNCC1>>NC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),17.698963691988258,CS(=O)C,293.0
COc1sc(cc1)N(=O)(=O).C1CCNCC1>>c1cc(sc1N2CCCCC2)N(=O)(=O),19.267742118488584,CS(=O)C,293.0
COc1sc(cc1S(=O)(=O)C)N(=O)(=O).C1CCNCC1>>CS(=O)(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),17.21884956009795,C(C)#N,293.0
COc1sc(cc1C(=O)OC)N(=O)(=O).C1CCNCC1>>COC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),18.119606723349058,C(C)#N,293.0
COc1sc(cc1C(=O)N)N(=O)(=O).C1CCNCC1>>NC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),18.76539040719279,C(C)#N,293.0
COc1sc(cc1)N(=O)(=O).C1CCNCC1>>c1cc(sc1N2CCCCC2)N(=O)(=O),20.346816238207374,C(C)#N,293.0
COc1sc(cc1S(=O)(=O)C)N(=O)(=O).C1CCNCC1>>CS(=O)(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),18.62491921906988,CO,293.0
COc1sc(cc1C(=O)OC)N(=O)(=O).C1CCNCC1>>COC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),19.352762597320712,CO,293.0
COc1sc(cc1C(=O)N)N(=O)(=O).C1CCNCC1>>NC(=O)c1cc(sc1N2CCCCC2)N(=O)(=O),20.01479050891565,CO,293.0
COc1sc(cc1)N(=O)(=O).C1CCNCC1>>c1cc(sc1N2CCCCC2)N(=O)(=O),22.015217222959638,CO,293.0
