SMILES,Name,PC1,PC2,PC3,PC4,PC5
CC(Cl)(Cl)Cl,"1,1,1-Trichloroethane",3.00518,-4.57856,-1.29164,0.547217,1.42287
CN(C(=O)N(C)C)C,"TMU [1,1,3,3-Tetramethylurea]",-6.42158,11.3027,-2.69706,-2.76249,-2.13088
CC(Cl)Cl,"1,1-Dichloroethane",0.884069,-5.24096,-1.47983,0.228239,2.12883
ClC(=C)Cl,"1,1-Dichloroethene",1.42072,-6.41141,-1.7826,-0.47086,1.38552
NCCN,"1,2-Diaminoethane",-8.92429,4.69006,-3.0658,-1.42983,-3.29467
Clc1ccccc1Cl,"1,2-Dichlorobenzene",3.6549,-2.17616,-0.77478,4.76397,0.167424
ClCCCl,"1,2-Dichloroethane",0.449577,-4.90128,-1.44113,1.87061,2.20725
COCCOC,"Glyme [DME or 1,2-Dimethoxyethane]",-1.35871,0.467472,-2.50771,-2.67093,-0.395857
OCCO,"Ethylene Glycol [1,2-Ethanediol]",-10.7101,-1.88606,4.37327,1.45192,-1.03437
Cc1cc(C)cc(c1)C,"Mesitylene [1,3,5-Trimethylbenzene]",6.6148,-0.578672,0.341697,1.36373,-1.84522
Cc1ccc(cc1)C,p-Xylene,5.74192,-2.2148,0.0354025,1.34743,-1.99868
O1CCOCC1,"1,4-Dioxane",-0.886957,0.203646,-1.94311,-1.54976,-1.13652
O=C1CCCN1C,NMP [N-Methylpyrrolidone],-3.90132,3.34375,-2.98889,0.763989,-0.161558
CC(C(=O)C(C)C)C,"2,4-Dimethyl-3-pentanone [Diisopropyl ketone]",1.79938,0.750799,-1.22962,-0.884622,0.143899
CC(CC(=O)CC(C)C)C,"2,6-Dimethyl-4-heptanone [Diisobutyl ketone]",4.08788,2.17254,0.294017,-0.607983,0.518781
NCCO,Ethanolamine [2-Aminoethanol],-8.38199,0.423377,-0.393555,1.23633,-0.977211
COCCO,Methyl Cellosolve [2-Methoxyethanol],-5.28528,-0.863147,0.149651,-1.06035,-0.461615
CCCC(C)C,iso-Hexane [2-Methylpentane],5.20913,-4.80332,-0.205914,-3.23107,-0.158737
CC1CCCO1,2-Methyltetrahydrofuran [2-MeTHF],2.05009,2.48903,-4.41974,2.44756,-10.5634
CCC(O)(C)C,tert-Amyl Alcohol [2-Methylbutan-2-ol],-2.39071,-0.731133,1.32996,-1.71282,-0.879646
OCC(C)C,iso-Butanol [2-Methylpropan-1-ol],-3.71432,-2.35607,1.93132,-1.47421,-0.774119
CC(O)(C)C,tert-Butanol [2-Methylpropan-2-ol],-3.74469,-1.25846,1.14292,-2.39924,-1.15615
CC(=O)C(C)(C)C,"3,3-Dimethyl-2-butanone [MTBK]",0.296798,0.437413,-1.87148,-1.47586,0.244384
CC(=O)C(C)C,"3-Methyl-2-butanone [MIPK, Methyl isopropyl ketone]",-0.823085,-0.410889,-2.49464,-1.34788,0.22587
OCCC(C)C,3-Methylbutan-1-ol,-3.26716,-0.943897,2.59167,-1.21117,-0.848406
CC(CC(=O)C)C,MIBK [Methyl iso-Butyl Ketone or 4-Methyl-2-pentanone],0.593996,0.332404,-1.82072,-1.2971,0.464529
CC(=O)O,Acetic Acid,-7.9189,-4.82223,4.6104,-0.483395,-0.842599
CC(=O)OC(=O)C,Acetic Anhydride,-1.54504,-0.744288,-1.6852,0.566744,2.8611
CC(=O)C,Acetone,-3.04341,-1.91259,-3.56567,-1.794,0.596176
CC#N,Acetonitrile,-4.65106,-4.74864,-3.28165,-0.304043,4.2989
CC(=O)c1ccccc1,Acetophenone,1.0484,1.97867,-1.09144,4.02949,0.785961
Nc1ccccc1,Aniline,-1.5456,-1.12968,1.48888,5.54665,-2.26104
COc1ccccc1,Anisole,3.0188,-1.34203,-0.886833,2.91594,-1.1059
c1ccccc1,Benzene,3.24748,-4.79837,-1.63234,1.17202,-1.55152
N#Cc1ccccc1,Benzonitrile,0.383056,-0.366777,-2.01768,4.56559,1.60245
FC(c1ccccc1)(F)F,Benzotrifluoride,3.26364,-2.50062,-0.738734,0.416847,1.12556
OCc1ccccc1,Benzyl alcohol,-2.44614,0.894494,3.6268,3.67887,-1.23662
Brc1ccccc1,Bromobenzene,3.46371,-2.76354,-0.981335,4.37912,-0.458873
CCCCO,Butan-1-ol,-4.22827,-1.69267,2.20752,-1.65375,-1.08503
CCC(O)C,Butan-2-ol,-3.59319,-1.74486,1.17917,-1.69234,-0.837775
CCC(=O)C,Butanone [MEK],-1.47901,-1.118,-3.00926,-1.40615,0.410937
