inchikey,smiles,name,epsilon
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,"1,1,1-Trichloroethane",7.3
AVQQQNCBBIEMEU-UHFFFAOYSA-N,CN(C)C(=O)N(C)C,"TMU [1,1,3,3-Tetramethylurea]",24.5
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,"1,1-Dichloroethane",10.0
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,"1,1-Dichloroethene",4.8
PIICEJLVQHRZGT-UHFFFAOYSA-N,NCCN,"1,2-Diaminoethane",12.9
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,"1,2-Dichlorobenzene",10.4
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,"1,2-Dichloroethane",10.7
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"Glyme [DME or 1,2-Dimethoxyethane]",7.2
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"Ethylene Glycol [1,2-Ethanediol]",37.7
AUHZEENZYGFFBQ-UHFFFAOYSA-N,Cc1cc(C)cc(C)c1,"Mesitylene [1,3,5-Trimethylbenzene]",2.3
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,p-Xylene,2.3
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-Dioxane",2.3
SECXISVLQFMRJM-UHFFFAOYSA-N,CN1CCCC1=O,NMP [N-Methylpyrrolidone],32.6
HXVNBWAKAOHACI-UHFFFAOYSA-N,CC(C)C(=O)C(C)C,"2,4-Dimethyl-3-pentanone [Diisopropyl ketone]",17.1
PTTPXKJBFFKCEK-UHFFFAOYSA-N,CC(C)CC(=O)CC(C)C,"2,6-Dimethyl-4-heptanone [Diisobutyl ketone]",9.9
HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,Ethanolamine [2-Aminoethanol],37.7
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,Methyl Cellosolve [2-Methoxyethanol],16.9
