inchikey,smiles,name,epsilon,h_acidity,h_basicity
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,"1,1,1-Trichloroethane",-0.3098076939093846,-0.5824334433068271,-1.052321660718406
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,"1,1-Dichloroethane",-0.21309455002554267,-0.03810312245932514,-1.014640872085911
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,"1,1-Dichloroethene",-0.3993569012092383,-0.5824334433068271,-1.203044815248386
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,"1,2-Dichlorobenzene",-0.19876667685756608,-0.5824334433068271,-1.240725603880881
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,"1,2-Dichloroethane",-0.18802077198158368,-0.03810312245932514,-0.976960083453416
AUHZEENZYGFFBQ-UHFFFAOYSA-N,Cc1cc(C)cc(C)c1,"Mesitylene [1,3,5-Trimethylbenzene]",-0.48890610850909194,-0.5824334433068271,-0.675513774393456
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,p-Xylene,-0.48890610850909194,-0.5824334433068271,-0.7885561402909409
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-Dioxane",-0.48890610850909194,-0.5824334433068271,1.0201217140688195
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,Methyl Cellosolve [2-Methoxyethanol],0.03406126212205337,1.0505575192356786,1.7737374867187194
JWUJQDFVADABEY-UHFFFAOYSA-N,CC1CCCO1,2-Methyltetrahydrofuran [2-MeTHF],-0.3205535987853671,-0.5824334433068271,0.6056330391113743
MSXVEPNJUHWQHW-UHFFFAOYSA-N,CCC(C)(C)O,tert-Amyl Alcohol [2-Methylbutan-2-ol],-0.3635372182892968,1.1049905513204288,0.8693985595388392
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,iso-Butanol [2-Methylpropan-1-ol],0.06988094504199482,1.43158874382893,0.41722909594889923
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,tert-Butanol [2-Methylpropan-2-ol],-0.12354534272568903,1.1049905513204288,0.8693985595388392
PJGSXYOJTGTZAV-UHFFFAOYSA-N,CC(=O)C(C)(C)C,"3,3-Dimethyl-2-butanone [MTBK]",-0.11638140614170077,-0.5824334433068271,0.5302714618463843
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,CC(=O)C(C)C,"3-Methyl-2-butanone [MIPK, Methyl isopropyl ketone]",0.02331535724607103,-0.5824334433068271,0.5302714618463843
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,3-Methylbutan-1-ol,-0.026832198841847097,1.43158874382893,0.41722909594889923
NTIZESTWPVYFNL-UHFFFAOYSA-N,CC(=O)CC(C)C,MIBK [Methyl iso-Butyl Ketone or 4-Methyl-2-pentanone],-0.10205353297372417,-0.5824334433068271,0.5302714618463843
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,Acetic Acid,-0.3492093451213203,2.7379815138629344,0.26650594141891926
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Acetone,0.19524983526178996,-0.3647013149678262,0.45490988458139425
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,Acetonitrile,0.7146352376009413,-0.2014022187135757,-0.1856635221710208
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1,Acetophenone,0.08062684991797729,-0.5824334433068271,0.41722909594889923
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,Aniline,-0.3133896622013788,0.8328253908966778,0.1534635755214341
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,Anisole,-0.41010280608522076,-0.5824334433068271,-0.2987058880685059
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,Benzene,-0.48890610850909194,-0.5824334433068271,-0.8639177175559309
JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#Cc1ccccc1,Benzonitrile,0.3313646303575676,-0.5824334433068271,-0.14798273353852578
WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,Benzyl alcohol,-0.10205353297372417,1.2138566154899293,0.7186754050088595
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,Bromobenzene,-0.37070115487328514,-0.5824334433068271,-1.052321660718406
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,Butan-1-ol,0.0555530718740183,1.43158874382893,0.41722909594889923
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,Butan-2-ol,0.02331535724607103,1.2138566154899293,0.7186754050088595
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,Butanone [MEK],0.10570062796193629,-0.5824334433068271,0.5302714618463843
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,Carbon Disulfide,-0.4781602036331095,-0.5824334433068271,-1.1276832379833959
