inchikey,smiles,name,epsilon
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,Water,78.3553
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,Acetonitrile,35.688
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,Methanol,32.613
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,Ethanol,24.851999999999997
AWJUIBRHMBBTKR-UHFFFAOYSA-N,c1ccc2cnccc2c1,IsoQuinoline,11.0
SMWDFEZZVXVKRB-UHFFFAOYSA-N,c1ccc2ncccc2c1,Quinoline,9.16
HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,Chloroform,4.7113
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,DiethylEther,4.24
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,Dichloromethane,8.93
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,DiChloroEthane,10.125
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,CarbonTetraChloride,2.228
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,Benzene,2.2706
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,Toluene,2.3741
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,ChloroBenzene,5.6968
LYGJENNIWJXYER-UHFFFAOYSA-N,C[N+](=O)[O-],NitroMethane,36.562
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,Heptane,1.9113
XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,CycloHexane,2.0165
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,Aniline,6.8882
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,Acetone,20.493000000000002
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,TetraHydroFuran,7.4257
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,DiMethylSulfoxide,46.826
XKRFYHLGVUSROY-UHFFFAOYSA-N,[Ar],Argon,1.43
DNNSSWSSYDEUBZ-UHFFFAOYSA-N,[Kr],Krypton,1.5190000000000001
FHNFHKCVQCLJFQ-UHFFFAOYSA-N,[Xe],Xenon,1.706
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,n-Octanol,9.8629
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,"1,1,1-TriChloroEthane",7.0826
UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,"1,1,2-TriChloroEthane",7.1937
GWHJZXXIDMPWGX-UHFFFAOYSA-N,Cc1ccc(C)c(C)c1,"1,2,4-TriMethylBenzene",2.3653
PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,"1,2-DiBromoEthane",4.9313
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-EthaneDiol",40.245
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-Dioxane",2.2099
HLVFKOKELQSXIQ-UHFFFAOYSA-N,CC(C)CBr,1-Bromo-2-MethylPropane,7.7792
VMKOFRJSULQZRM-UHFFFAOYSA-N,CCCCCCCCBr,1-BromoOctane,5.0244
YZWKKMVJZFACSU-UHFFFAOYSA-N,CCCCCBr,1-BromoPentane,6.269
CYNYIHKIEHGYOZ-UHFFFAOYSA-N,CCCBr,1-BromoPropane,8.0496
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,1-Butanol,17.332
MLRVZFYXUZQSRU-UHFFFAOYSA-N,CCCCCCCl,1-ChloroHexane,5.9491
SQCZQTSHSZLZIQ-UHFFFAOYSA-N,CCCCCCl,1-ChloroPentane,6.5022
SNMVRZFUUCLYTO-UHFFFAOYSA-N,CCCCl,1-ChloroPropane,8.3548
MWKFXSUHUHTGQN-UHFFFAOYSA-N,CCCCCCCCCCO,1-Decanol,7.5305
DHIVLKMGKIZOHF-UHFFFAOYSA-N,CCCCCCCCF,1-FluoroOctane,3.89
BBMCTIGTTCKYKF-UHFFFAOYSA-N,CCCCCCCO,1-Heptanol,11.321
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,1-Hexanol,12.51
LIKMAJRDDDTEIG-UHFFFAOYSA-N,C=CCCCC,1-Hexene,2.0717
CGHIBGNXEGJPQZ-UHFFFAOYSA-N,C#CCCCC,1-Hexyne,2.615
KMGBZBJJOKUPIA-UHFFFAOYSA-N,CCCCI,1-IodoButane,6.172999999999999
KMWHQYDMBYABKL-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCI,1-IodoHexaDecane,3.5338
BLXSFCHWMBESKV-UHFFFAOYSA-N,CCCCCI,1-IodoPentane,5.6973
PVWOIHVRPOBWPI-UHFFFAOYSA-N,CCCI,1-IodoPropane,6.9626
JSZOAYXJRCEYSX-UHFFFAOYSA-N,CCC[N+](=O)[O-],1-NitroPropane,23.73
ZWRUINPWMLAQRD-UHFFFAOYSA-N,CCCCCCCCCO,1-Nonanol,8.5991
AMQJEAYHLZJPGS-UHFFFAOYSA-N,CCCCCO,1-Pentanol,15.13
YWAKXRMUMFPDSH-UHFFFAOYSA-N,C=CCCC,1-Pentene,1.9905
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,1-Propanol,20.524
RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F,"2,2,2-TriFluoroEthanol",26.726
NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,"2,2,4-TriMethylPentane",1.9358
BZHMBWZPUJHVEE-UHFFFAOYSA-N,CC(C)CC(C)C,"2,4-DiMethylPentane",1.8939
JYYNAJVZFGKDEQ-UHFFFAOYSA-N,Cc1ccnc(C)c1,"2,4-DiMethylPyridine",9.4176
OISVCGZHLKNMSJ-UHFFFAOYSA-N,Cc1cccc(C)n1,"2,6-DiMethylPyridine",7.1735
NAMYKGVDVNBCFQ-UHFFFAOYSA-N,CC(C)Br,2-BromoPropane,9.361
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,2-Butanol,15.944
BSPCSKHALVHRSR-UHFFFAOYSA-N,CCC(C)Cl,2-ChloroButane,8.392999999999999
CATSNJVOTSVZJV-UHFFFAOYSA-N,CCCCCC(C)=O,2-Heptanone,11.658
QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O,2-Hexanone,14.136
XNWFRZJHXBZDAG-UHFFFAOYSA-N,COCCO,2-MethoxyEthanol,17.2
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,2-Methyl-1-Propanol,16.777
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,2-Methyl-2-Propanol,12.47
AFABGHUZZDYHJO-UHFFFAOYSA-N,CCCC(C)C,2-MethylPentane,1.89
BSKHPKMHTQYZBB-UHFFFAOYSA-N,Cc1ccccn1,2-MethylPyridine,9.9533
FGLBSLMDCBOPQK-UHFFFAOYSA-N,CC(C)[N+](=O)[O-],2-NitroPropane,25.654
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(C)=O,2-Octanone,9.4678
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(C)=O,2-Pentanone,15.2
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,2-Propanol,19.264
XXROGKLTLUQVRX-UHFFFAOYSA-N,C=CCO,2-Propen-1-ol,19.011
ITQTTZVARXURQS-UHFFFAOYSA-N,Cc1cccnc1,3-MethylPyridine,11.645
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,3-Pentanone,16.78
HCFAJYNVAYBARA-UHFFFAOYSA-N,CCCC(=O)CCC,4-Heptanone,12.257
NTIZESTWPVYFNL-UHFFFAOYSA-N,CC(=O)CC(C)C,4-Methyl-2-Pentanone,12.887
FKNQCJSGGFJEIZ-UHFFFAOYSA-N,Cc1ccncc1,4-MethylPyridine,11.957
WSGCRAOTEDLMFQ-UHFFFAOYSA-N,CCCCC(=O)CCCC,5-Nonanone,10.6
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,AceticAcid,6.2528
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1,AcetoPhenone,17.44
KCXMKQUNVWSEMD-UHFFFAOYSA-N,ClCc1ccccc1,alpha-ChloroToluene,6.7175
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,Anisole,4.2247
HUMNYLRZRPPJDN-UHFFFAOYSA-N,O=Cc1ccccc1,Benzaldehyde,18.22
JFDZBHWFFUWGJE-UHFFFAOYSA-N,N#Cc1ccccc1,BenzoNitrile,25.592
WVDDGKGOMKODPV-UHFFFAOYSA-N,OCc1ccccc1,BenzylAlcohol,12.457
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,BromoBenzene,5.3954
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,BromoEthane,9.01
DIKBFYAXUHHXCS-UHFFFAOYSA-N,BrC(Br)Br,Bromoform,4.2488
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,Butanal,13.45
FERIUCNNQQJTOY-UHFFFAOYSA-N,CCCC(=O)O,ButanoicAcid,2.9931
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,Butanone,18.246
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,ButanoNitrile,24.291
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,ButylAmine,4.6178
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(C)=O,ButylEthanoate,4.9941
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,CarbonDiSulfide,2.6105
KVZJLSYJROEPSQ-OCAPTIKFSA-N,C[C@H]1CCCC[C@H]1C,"Cis-1,2-DiMethylCycloHexane",2.06
NNBZCPXTIHJBJL-AOOOYVTPSA-N,C1CC[C@H]2CCCC[C@H]2C1,Cis-Decalin,2.2139
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,CycloHexanone,15.619000000000002
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,CycloPentane,1.9608
XCIXKGXIYUWCLL-UHFFFAOYSA-N,OC1CCCC1,CycloPentanol,16.989
BGTOWKSIORTVQH-UHFFFAOYSA-N,O=C1CCCC1,CycloPentanone,13.58
NNBZCPXTIHJBJL-UHFFFAOYSA-N,C1CCC2CCCCC2C1,Decalin-mixture,2.1959999999999997
FJBFPHVGVWTDIP-UHFFFAOYSA-N,BrCBr,DiBromomEthane,7.2273
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,DiButylEther,3.0473
HPNMFZURTQLUMO-UHFFFAOYSA-N,CCNCC,DiEthylAmine,3.5766
LJSQFQKUNVCTIA-UHFFFAOYSA-N,CCSCC,DiEthylSulfide,5.723
NZZFYRREKKOMAT-UHFFFAOYSA-N,ICI,DiIodoMethane,5.32
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,CC(C)OC(C)C,DiIsoPropylEther,3.38
WQOXQRCZOLPYPM-UHFFFAOYSA-N,CSSC,DiMethylDiSulfide,9.6
USIUVYZYUHIAEV-UHFFFAOYSA-N,c1ccc(Oc2ccccc2)cc1,DiPhenylEther,3.73
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,CCCNCCC,DiPropylAmine,2.9112
