inchikey,smiles,name,epsilon
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,acetone,20.7
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,acetonitrile,37.5
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,ch2cl2,8.93
HEDRZPFGACZZDS-UHFFFAOYSA-N,ClC(Cl)Cl,chcl3,4.81
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,cs2,2.64
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dmf,37.0
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dmso,46.68
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,ether,4.33
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,80.2
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,32.7
VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,n-hexane,1.88
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,thf,7.6
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,toluene,7.0
