Reactant,TS,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
8_MA-TS_7-8_Reactant,8_MA-TS_7-8,8_MA-TS_7-8_Product,-0.640672422624,-0.636449117982,-0.680089195412,0.099626,0.109675,0.085033,2.65,27.38,-24.73,6.31,15.46,-9.16
16_MA-TS_7-8_Reactant,16_MA-TS_7-8,16_MA-TS_7-8_Product,-0.683161204047,-0.664583174866,-0.706448064422,0.055164,0.076578,0.038832,11.66,26.27,-14.61,13.44,23.69,-10.25
18_MA-TS_7-8_Reactant,18_MA-TS_7-8,18_MA-TS_7-8_Product,-0.677036529936,-0.658288407555,-0.702943061305,0.008015,0.027146,-0.006875,11.76,28.02,-16.26,12.0,21.35,-9.34
22_MA-TS_5-6_Reactant,22_MA-TS_5-6,22_MA-TS_5-6_Product,-0.318275308787,-0.309033600047,-0.321735756421,0.223959,0.231471,0.212741,5.8,7.97,-2.17,4.71,11.75,-7.04
24_MA-TS_5-6_Reactant,24_MA-TS_5-6,24_MA-TS_5-6_Product,-0.310559135785,-0.308164571636,-0.327310462078,0.208668,0.213829,0.195089,1.5,12.01,-10.51,3.24,11.76,-8.52
25_MA-TS_5-6_Reactant,25_MA-TS_5-6,25_MA-TS_5-6_Product,-0.380757213924,-0.395080049225,-0.406194958465,-0.082663,-0.09437,-0.104932,-8.99,6.97,-15.96,-7.35,6.63,-13.97
28_MA-TS_5-6_Reactant,28_MA-TS_5-6,28_MA-TS_5-6_Product,-0.371659103842,-0.36687008828,-0.387843716501,0.026967,0.031586,0.013528,3.01,13.16,-10.16,2.9,11.33,-8.43
31_MA-TS_5-6_Reactant,31_MA-TS_5-6,31_MA-TS_5-6_Product,-0.364980928416,-0.353586460119,-0.370218480469,0.008268,0.02222,0.011211,7.15,10.44,-3.29,8.76,6.91,1.85
33_MA-TS_5-6_Reactant,33_MA-TS_5-6,33_MA-TS_5-6_Product,-0.274852067768,-0.283311795143,-0.292993869453,-0.020674,-0.024069,-0.031506,-5.31,6.08,-11.38,-2.13,4.67,-6.8
34_MA-TS_5-6_Reactant,34_MA-TS_5-6,34_MA-TS_5-6_Product,-0.399962625104,-0.392951754375,-0.412217513988,-0.071222,-0.066548,-0.068976,4.4,12.09,-7.69,2.93,1.52,1.41
35_MA-TS_5-6_Reactant,35_MA-TS_5-6,35_MA-TS_5-6_Product,-0.329215017042,-0.318758537717,-0.337366649722,-0.030105,-0.021819,-0.035521,6.56,11.68,-5.12,5.2,8.6,-3.4
36_MA-TS_5-6_Reactant,36_MA-TS_5-6,36_MA-TS_5-6_Product,-0.335839883496,-0.340877068561,-0.351641569834,0.041627,0.034548,0.027333,-3.16,6.75,-9.92,-4.44,4.53,-8.97
37_MA-TS_5-6_Reactant,37_MA-TS_5-6,37_MA-TS_5-6_Product,-0.356289483926,-0.35441007728,-0.390079747958,-0.032598,-0.02778,-0.063823,1.18,22.38,-21.2,3.02,22.62,-19.59
38_MA-TS_5-6_Reactant,38_MA-TS_5-6,38_MA-TS_5-6_Product,-0.482319895474,-0.475258883793,-0.494384547023,-0.154485,-0.149041,-0.163531,4.43,12.0,-7.57,3.42,9.09,-5.68
41_MA-TS_5-6_Reactant,41_MA-TS_5-6,41_MA-TS_5-6_Product,-0.347968577805,-0.344654201652,-0.362093829284,0.018147,0.022722,0.008786,2.08,10.94,-8.86,2.87,8.74,-5.87
42_MA-TS_5-6_Reactant,42_MA-TS_5-6,42_MA-TS_5-6_Product,-0.336533234812,-0.342556486602,-0.34873606727,0.19755,0.192355,0.186775,-3.78,3.88,-7.66,-3.26,3.5,-6.76
44_MA-TS_5-6_Reactant,44_MA-TS_5-6,44_MA-TS_5-6_Product,-0.369412176895,-0.369718669726,-0.388855230634,0.134462,0.141331,0.124092,-0.19,12.01,-12.2,4.31,10.82,-6.51
46_MA-TS_7-8_Reactant,46_MA-TS_7-8,46_MA-TS_7-8_Product,-0.635614261934,-0.62975365271,-0.647755461098,0.028672,0.044581,0.031404,3.68,11.3,-7.62,9.98,8.27,1.71
49_MA-TS_7-8_Reactant,49_MA-TS_7-8,49_MA-TS_7-8_Product,-0.706705009783,-0.700700262367,-0.718658830749,-0.05338,-0.043321,-0.049113,3.77,11.27,-7.5,6.31,3.63,2.68
50_MA-TS_7-8_Reactant,50_MA-TS_7-8,50_MA-TS_7-8_Product,-0.81715099188,-0.791645556982,-0.797484878089,-0.165953,-0.138983,-0.144227,16.0,3.66,12.34,16.92,3.29,13.63
55_MA-TS_7-8_Reactant,55_MA-TS_7-8,55_MA-TS_7-8_Product,-0.67242494509,-0.675072484366,-0.696210774797,-0.019585,-0.020243,-0.04089,-1.66,13.26,-14.93,-0.41,12.96,-13.37
57_MA-TS_7-8_Reactant,57_MA-TS_7-8,57_MA-TS_7-8_Product,-0.553918250851,-0.554035213709,-0.579994264316,0.067315,0.076149,0.046069,-0.07,16.29,-16.36,5.54,18.88,-13.33
59_MA-TS_7-8_Reactant,59_MA-TS_7-8,59_MA-TS_7-8_Product,-0.628054615877,-0.619789426107,-0.631424276111,0.075891,0.08202,0.073692,5.19,7.3,-2.11,3.85,5.23,-1.38
60_MA-TS_7-8_Reactant,60_MA-TS_7-8,60_MA-TS_7-8_Product,-0.610161812373,-0.613232491633,-0.631518140995,0.090101,0.083434,0.072681,-1.93,11.47,-13.4,-4.18,6.75,-10.93
63_MA-TS_7-8_Reactant,63_MA-TS_7-8,63_MA-TS_7-8_Product,-0.624549724149,-0.617855272872,-0.628859772305,0.025895,0.038131,0.027553,4.2,6.91,-2.7,7.68,6.64,1.04
64_MA-TS_7-8_Reactant,64_MA-TS_7-8,64_MA-TS_7-8_Product,-0.696902619446,-0.694275679599,-0.708347825052,-0.054161,-0.050682,-0.052816,1.65,8.83,-7.18,2.18,1.34,0.84
65_MA-TS_27-28_Reactant,65_MA-TS_27-28,65_MA-TS_27-28_Product,-0.725383293052,-0.71993590336,-0.730664982233,-0.055013,-0.051216,-0.057964,3.42,6.73,-3.31,2.38,4.23,-1.85
67_MA-TS_22-28_Reactant,67_MA-TS_22-28,67_MA-TS_22-28_Product,-0.451271977479,-0.457832924882,-0.472081389415,-0.014556,-0.023742,-0.034299,-4.12,8.94,-13.06,-5.76,6.62,-12.39
69_MA-TS_24-25_Reactant,69_MA-TS_24-25,69_MA-TS_24-25_Product,-0.464468716298,-0.465760426275,-0.487213076996,0.082055,0.081303,0.059942,-0.81,13.46,-14.27,-0.47,13.4,-13.88
71_MA-TS_25-26_Reactant,71_MA-TS_25-26,71_MA-TS_25-26_Product,-0.546933588471,-0.559929273756,-0.562510312304,0.005818,-0.004885,-0.009047,-8.15,1.62,-9.77,-6.72,2.61,-9.33
73_MA-TS_22-28_Reactant,73_MA-TS_22-28,73_MA-TS_22-28_Product,-0.633587305607,-0.635298847921,-0.66136304149,-0.12409,-0.128362,-0.155351,-1.07,16.36,-17.43,-2.68,16.94,-19.62
74_MA-TS_22-31_Reactant,74_MA-TS_22-31,74_MA-TS_22-31_Product,-0.425544920687,-0.433335452771,-0.477496094921,0.07122,0.059485,0.015627,-4.89,27.71,-32.6,-7.36,27.52,-34.89
78_MA-TS_24-25_Reactant,78_MA-TS_24-25,78_MA-TS_24-25_Product,-0.41484902751,-0.417080566593,-0.431520809472,0.075727,0.075835,0.061836,-1.4,9.06,-10.46,0.07,8.78,-8.72
79_MA-TS_25-26_Reactant,79_MA-TS_25-26,79_MA-TS_25-26_Product,-0.700484669856,-0.700768575877,-0.709354748238,-0.123264,-0.11995,-0.130659,-0.18,5.39,-5.57,2.08,6.72,-4.64
82_MA-TS_24-25_Reactant,82_MA-TS_24-25,82_MA-TS_24-25_Product,-0.335077700165,-0.327927450787,-0.351852220751,0.294702,0.303159,0.279591,4.49,15.01,-10.53,5.31,14.79,-9.48
85_MA-TS_25-26_Reactant,85_MA-TS_25-26,85_MA-TS_25-26_Product,-0.323039589752,-0.32571139534,-0.347561495771,0.294429,0.291929,0.271592,-1.68,13.71,-15.39,-1.57,12.76,-14.33
87_MA-TS_24-25_Reactant,87_MA-TS_24-25,87_MA-TS_24-25_Product,-0.494426495566,-0.500411292015,-0.505862747988,0.014876,0.007371,0.003883,-3.76,3.42,-7.18,-4.71,2.19,-6.9
92_MA-TS_24-25_Reactant,92_MA-TS_24-25,92_MA-TS_24-25_Product,-0.392439083743,-0.38982787188,-0.394287154467,0.04634,0.050103,0.045261,1.64,2.8,-1.16,2.36,3.04,-0.68
