Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
8_MA-TS_7-8_Reactant,8_MA-TS_7-8,8_MA-TS_7-8_Product,1.88,28.17,-26.3,5.8,28.18,-22.37,2.65,27.38,-24.73,6.31,15.46,-9.16
16_MA-TS_7-8_Reactant,16_MA-TS_7-8,16_MA-TS_7-8_Product,18.22,15.87,2.35,19.48,14.24,5.24,11.66,26.27,-14.61,13.44,23.69,-10.25
18_MA-TS_7-8_Reactant,18_MA-TS_7-8,18_MA-TS_7-8_Product,17.47,24.4,-6.93,18.7,21.68,-2.98,11.76,28.02,-16.26,12.0,21.35,-9.34
22_MA-TS_5-6_Reactant,22_MA-TS_5-6,22_MA-TS_5-6_Product,19.83,3.98,15.85,16.25,4.83,11.42,5.8,7.97,-2.17,4.71,11.75,-7.04
24_MA-TS_5-6_Reactant,24_MA-TS_5-6,24_MA-TS_5-6_Product,17.63,6.12,11.51,14.69,5.47,9.22,1.5,12.01,-10.51,3.24,11.76,-8.52
25_MA-TS_5-6_Reactant,25_MA-TS_5-6,25_MA-TS_5-6_Product,3.58,4.3,-0.72,4.36,3.94,0.42,-8.99,6.97,-15.96,-7.35,6.63,-13.97
28_MA-TS_5-6_Reactant,28_MA-TS_5-6,28_MA-TS_5-6_Product,18.46,5.5,12.96,15.52,3.97,11.55,3.01,13.16,-10.16,2.9,11.33,-8.43
31_MA-TS_5-6_Reactant,31_MA-TS_5-6,31_MA-TS_5-6_Product,20.1,3.18,16.91,16.94,3.47,13.47,7.15,10.44,-3.29,8.76,6.91,1.85
33_MA-TS_5-6_Reactant,33_MA-TS_5-6,33_MA-TS_5-6_Product,2.65,1.44,1.21,3.01,0.97,2.04,-5.31,6.08,-11.38,-2.13,4.67,-6.8
34_MA-TS_5-6_Reactant,34_MA-TS_5-6,34_MA-TS_5-6_Product,19.05,7.32,11.73,19.18,7.23,11.95,4.4,12.09,-7.69,2.93,1.52,1.41
35_MA-TS_5-6_Reactant,35_MA-TS_5-6,35_MA-TS_5-6_Product,18.03,9.53,8.49,16.95,8.09,8.86,6.56,11.68,-5.12,5.2,8.6,-3.4
36_MA-TS_5-6_Reactant,36_MA-TS_5-6,36_MA-TS_5-6_Product,0.26,2.81,-2.56,1.13,2.42,-1.29,-3.16,6.75,-9.92,-4.44,4.53,-8.97
37_MA-TS_5-6_Reactant,37_MA-TS_5-6,37_MA-TS_5-6_Product,11.39,13.32,-1.92,8.07,12.19,-4.12,1.18,22.38,-21.2,3.02,22.62,-19.59
38_MA-TS_5-6_Reactant,38_MA-TS_5-6,38_MA-TS_5-6_Product,17.86,6.95,10.91,18.73,5.28,13.46,4.43,12.0,-7.57,3.42,9.09,-5.68
41_MA-TS_5-6_Reactant,41_MA-TS_5-6,41_MA-TS_5-6_Product,18.05,3.48,14.57,16.17,1.76,14.41,2.08,10.94,-8.86,2.87,8.74,-5.87
42_MA-TS_5-6_Reactant,42_MA-TS_5-6,42_MA-TS_5-6_Product,7.59,1.97,5.61,7.74,1.37,6.37,-3.78,3.88,-7.66,-3.26,3.5,-6.76
44_MA-TS_5-6_Reactant,44_MA-TS_5-6,44_MA-TS_5-6_Product,8.17,7.02,1.16,7.98,4.48,3.5,-0.19,12.01,-12.2,4.31,10.82,-6.51
46_MA-TS_7-8_Reactant,46_MA-TS_7-8,46_MA-TS_7-8_Product,8.74,9.53,-0.79,11.86,10.26,1.6,3.68,11.3,-7.62,9.98,8.27,1.71
49_MA-TS_7-8_Reactant,49_MA-TS_7-8,49_MA-TS_7-8_Product,11.45,12.93,-1.48,11.61,10.95,0.66,3.77,11.27,-7.5,6.31,3.63,2.68
50_MA-TS_7-8_Reactant,50_MA-TS_7-8,50_MA-TS_7-8_Product,29.89,5.68,24.2,26.04,3.83,22.21,16.0,3.66,12.34,16.92,3.29,13.63
55_MA-TS_7-8_Reactant,55_MA-TS_7-8,55_MA-TS_7-8_Product,7.89,4.22,3.67,6.89,4.3,2.59,-1.66,13.26,-14.93,-0.41,12.96,-13.37
57_MA-TS_7-8_Reactant,57_MA-TS_7-8,57_MA-TS_7-8_Product,8.5,9.56,-1.06,7.43,9.31,-1.88,-0.07,16.29,-16.36,5.54,18.88,-13.33
59_MA-TS_7-8_Reactant,59_MA-TS_7-8,59_MA-TS_7-8_Product,17.08,2.25,14.83,17.73,2.23,15.5,5.19,7.3,-2.11,3.85,5.23,-1.38
60_MA-TS_7-8_Reactant,60_MA-TS_7-8,60_MA-TS_7-8_Product,9.71,10.26,-0.55,9.19,8.37,0.81,-1.93,11.47,-13.4,-4.18,6.75,-10.93
63_MA-TS_7-8_Reactant,63_MA-TS_7-8,63_MA-TS_7-8_Product,3.51,9.42,-5.91,6.66,7.49,-0.83,4.2,6.91,-2.7,7.68,6.64,1.04
64_MA-TS_7-8_Reactant,64_MA-TS_7-8,64_MA-TS_7-8_Product,5.99,8.07,-2.08,6.21,6.46,-0.25,1.65,8.83,-7.18,2.18,1.34,0.84
65_MA-TS_27-28_Reactant,65_MA-TS_27-28,65_MA-TS_27-28_Product,21.22,2.73,18.48,20.16,0.74,19.42,3.42,6.73,-3.31,2.38,4.23,-1.85
67_MA-TS_22-28_Reactant,67_MA-TS_22-28,67_MA-TS_22-28_Product,3.51,3.4,0.11,4.08,4.07,0.01,-4.12,8.94,-13.06,-5.76,6.62,-12.39
69_MA-TS_24-25_Reactant,69_MA-TS_24-25,69_MA-TS_24-25_Product,5.15,5.6,-0.45,7.34,5.15,2.19,-0.81,13.46,-14.27,-0.47,13.4,-13.88
71_MA-TS_25-26_Reactant,71_MA-TS_25-26,71_MA-TS_25-26_Product,12.22,0.06,12.16,11.69,-0.17,11.86,-8.15,1.62,-9.77,-6.72,2.61,-9.33
73_MA-TS_22-28_Reactant,73_MA-TS_22-28,73_MA-TS_22-28_Product,9.81,8.84,0.97,8.02,6.69,1.33,-1.07,16.36,-17.43,-2.68,16.94,-19.62
74_MA-TS_22-31_Reactant,74_MA-TS_22-31,74_MA-TS_22-31_Product,4.09,15.4,-11.31,2.99,13.2,-10.21,-4.89,27.71,-32.6,-7.36,27.52,-34.89
78_MA-TS_24-25_Reactant,78_MA-TS_24-25,78_MA-TS_24-25_Product,3.05,3.2,-0.15,3.58,2.54,1.05,-1.4,9.06,-10.46,0.07,8.78,-8.72
