Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR,HR,HTS,HP,freqR,freqTS,freqP,irR,irTS,irP,dipoleR,dipoleTS,dipoleP,homoR,homoTS,homoP,lumoR,lumoTS,lumoP,qhirshR,qhirshTS,qhirshP
8_MA-TS_7-8_Reactant,8_MA-TS_7-8,8_MA-TS_7-8_Product,-0.640672422624,-0.636449117982,-0.680089195412,0.099626,0.109675,0.085033,2.65,27.38,-24.73,6.31,15.46,-9.16,0.235142,0.242765,0.209391,-300.8029,-202.2726,-669.2781,5.1032,2.3572,27.705,18.0533,81.232,10.2919,-0.16368,-0.16155,-0.17485,0.05398,0.05923,0.06266,4.8e-05,4.8e-05,5e-05
16_MA-TS_7-8_Reactant,16_MA-TS_7-8,16_MA-TS_7-8_Product,-0.683161204047,-0.664583174866,-0.706448064422,0.055164,0.076578,0.038832,11.66,26.27,-14.61,13.44,23.69,-10.25,0.188279,0.210993,0.166104,-934.0086,-377.0386,-571.5613,36.8263,19.2731,19.3008,12.1861,22.7294,16.6968,-0.15781,-0.1615,-0.15879,0.06034,0.05513,0.04523,3.9e-05,4.3e-05,4.3e-05
18_MA-TS_7-8_Reactant,18_MA-TS_7-8,18_MA-TS_7-8_Product,-0.677036529936,-0.658288407555,-0.702943061305,0.008015,0.027146,-0.006875,11.76,28.02,-16.26,12.0,21.35,-9.34,0.13543,0.154163,0.118093,-160.6505,-200.514,-189.4154,2.4989,225.4789,1.0424,7.4355,53.1314,7.9271,-0.17642,-0.17631,-0.17194,0.05761,0.05385,0.05639,4.1e-05,3.9e-05,3.9e-05
22_MA-TS_5-6_Reactant,22_MA-TS_5-6,22_MA-TS_5-6_Product,-0.318275308787,-0.309033600047,-0.321735756421,0.223959,0.231471,0.212741,5.8,7.97,-2.17,4.71,11.75,-7.04,0.327446,0.332288,0.320244,-153.2701,-299.6012,-692.4673,3.9373,16.0253,26.067,7.2596,9.1124,10.94,-0.16217,-0.17675,-0.17922,0.04562,0.04537,0.0313,3.9e-05,4.3e-05,4.7e-05
24_MA-TS_5-6_Reactant,24_MA-TS_5-6,24_MA-TS_5-6_Product,-0.310559135785,-0.308164571636,-0.327310462078,0.208668,0.213829,0.195089,1.5,12.01,-10.51,3.24,11.76,-8.52,0.3053,0.308778,0.290056,-164.3885,-180.6613,-915.0314,0.422,280.1237,40.0747,14.2099,17.5291,17.0629,-0.14763,-0.15377,-0.16554,0.04535,0.05635,0.04924,4.5e-05,4.7e-05,4.7e-05
25_MA-TS_5-6_Reactant,25_MA-TS_5-6,25_MA-TS_5-6_Product,-0.380757213924,-0.395080049225,-0.406194958465,-0.082663,-0.09437,-0.104932,-8.99,6.97,-15.96,-7.35,6.63,-13.97,-0.003227,-0.013538,-0.028648,-937.451,-190.4128,-1021.1496,31.7505,0.2568,26.7613,11.68,22.0305,6.0761,-0.14725,-0.17587,-0.17993,0.05309,0.06908,0.07384,-62.996075,-63.408905,-63.765882
28_MA-TS_5-6_Reactant,28_MA-TS_5-6,28_MA-TS_5-6_Product,-0.371659103842,-0.36687008828,-0.387843716501,0.026967,0.031586,0.013528,3.01,13.16,-10.16,2.9,11.33,-8.43,0.115984,0.120734,0.105377,-740.7233,-985.448,-908.5436,18.811,34.1169,27.2231,7.6185,17.8919,6.6654,-0.16669,-0.17655,-0.17059,0.05564,0.07125,0.08376,-86.348344,-86.377384,-86.771976
31_MA-TS_5-6_Reactant,31_MA-TS_5-6,31_MA-TS_5-6_Product,-0.364980928416,-0.353586460119,-0.370218480469,0.008268,0.02222,0.011211,7.15,10.44,-3.29,8.76,6.91,1.85,0.096179,0.108176,0.096448,-287.9907,-413.5718,-196.0208,2.4462,13.3703,2.1968,9.3238,16.1033,6.3467,-0.16064,-0.17382,-0.17334,0.0573,0.0731,0.0804,-82.382048,-82.472338,-82.855924
33_MA-TS_5-6_Reactant,33_MA-TS_5-6,33_MA-TS_5-6_Product,-0.274852067768,-0.283311795143,-0.292993869453,-0.020674,-0.024069,-0.031506,-5.31,6.08,-11.38,-2.13,4.67,-6.8,0.051812,0.043811,0.036601,-153.2911,-213.383,-201.5096,0.1864,638.8274,0.1797,9.9911,12.3871,6.4878,-0.16169,-0.1764,-0.16579,0.03939,0.05921,0.07344,-59.166395,-59.340989,-59.676888
34_MA-TS_5-6_Reactant,34_MA-TS_5-6,34_MA-TS_5-6_Product,-0.399962625104,-0.392951754375,-0.412217513988,-0.071222,-0.066548,-0.068976,4.4,12.09,-7.69,2.93,1.52,1.41,0.008416,0.015135,0.008946,-179.4978,-191.1088,-302.4327,0.6436,293.499,53.5545,7.2356,9.6389,3.6314,-0.16223,-0.15558,-0.16704,0.05483,0.07233,0.07913,-67.018219,-66.847608,-67.470656
35_MA-TS_5-6_Reactant,35_MA-TS_5-6,35_MA-TS_5-6_Product,-0.329215017042,-0.318758537717,-0.337366649722,-0.030105,-0.021819,-0.035521,6.56,11.68,-5.12,5.2,8.6,-3.4,0.047959,0.055614,0.037806,-193.9658,-214.3866,-381.3977,2.0209,1.7632,17.5737,11.0749,24.6205,7.9706,-0.16439,-0.16878,-0.16944,0.05896,0.06913,0.08431,-64.081422,-64.225334,-64.665886
36_MA-TS_5-6_Reactant,36_MA-TS_5-6,36_MA-TS_5-6_Product,-0.335839883496,-0.340877068561,-0.351641569834,0.041627,0.034548,0.027333,-3.16,6.75,-9.92,-4.44,4.53,-8.97,0.125814,0.12157,0.109513,-157.7898,-216.8747,-830.5131,1.2228,468.6952,42.5533,11.8145,13.5729,5.5152,-0.14844,-0.16328,-0.17404,0.06283,0.07341,0.08126,-82.350451,-82.450825,-82.973741
