Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
8_MA-TS_7-8_Reactant,8_MA-TS_7-8,8_MA-TS_7-8_Product,-3111.96104016,-3111.95805199,-3112.00294566,-3111.167587,-3111.158338,-3111.203241,1.88,28.17,-26.3,5.8,28.18,-22.37
16_MA-TS_7-8_Reactant,16_MA-TS_7-8,16_MA-TS_7-8_Product,-3111.99958413,-3111.97055037,-3111.99583748,-3111.200684,-3111.169646,-3111.192338,18.22,15.87,2.35,19.48,14.24,5.24
18_MA-TS_7-8_Reactant,18_MA-TS_7-8,18_MA-TS_7-8_Product,-2955.8585504,-2955.83070796,-2955.86959353,-2955.12832,-2955.098525,-2955.133075,17.47,24.4,-6.93,18.7,21.68,-2.98
22_MA-TS_5-6_Reactant,22_MA-TS_5-6,22_MA-TS_5-6_Product,-2266.38543829,-2266.35383527,-2266.36017345,-2265.808659,-2265.782761,-2265.790464,19.83,3.98,15.85,16.25,4.83,11.42
24_MA-TS_5-6_Reactant,24_MA-TS_5-6,24_MA-TS_5-6_Product,-2206.2870369,-2206.25894775,-2206.26869278,-2205.736072,-2205.712668,-2205.721383,17.63,6.12,11.51,14.69,5.47,9.22
25_MA-TS_5-6_Reactant,25_MA-TS_5-6,25_MA-TS_5-6_Product,-1598.38581948,-1598.38011,-1598.38696354,-1598.062772,-1598.05583,-1598.062105,3.58,4.3,-0.72,4.36,3.94,0.42
28_MA-TS_5-6_Reactant,28_MA-TS_5-6,28_MA-TS_5-6_Product,-1868.50366456,-1868.47425363,-1868.4830138,-1868.072076,-1868.047338,-1868.053666,18.46,5.5,12.96,15.52,3.97,11.55
31_MA-TS_5-6_Reactant,31_MA-TS_5-6,31_MA-TS_5-6_Product,-1829.22857335,-1829.19654871,-1829.20161785,-1828.824286,-1828.797298,-1828.802823,20.1,3.18,16.91,16.94,3.47,13.47
33_MA-TS_5-6_Reactant,33_MA-TS_5-6,33_MA-TS_5-6_Product,-1482.75378972,-1482.74956441,-1482.75185925,-1482.478717,-1482.473925,-1482.475471,2.65,1.44,1.21,3.01,0.97,2.04
34_MA-TS_5-6_Reactant,34_MA-TS_5-6,34_MA-TS_5-6_Product,-1637.68040278,-1637.65004397,-1637.66170615,-1637.331039,-1637.300473,-1637.312002,19.05,7.32,11.73,19.18,7.23,11.95
35_MA-TS_5-6_Reactant,35_MA-TS_5-6,35_MA-TS_5-6_Product,-1523.25590036,-1523.22717466,-1523.24236857,-1522.934217,-1522.907206,-1522.920091,18.03,9.53,8.49,16.95,8.09,8.86
36_MA-TS_5-6_Reactant,36_MA-TS_5-6,36_MA-TS_5-6_Product,-1829.18496883,-1829.18456241,-1829.18904533,-1828.784758,-1828.782953,-1828.786809,0.26,2.81,-2.56,1.13,2.42,-1.29
37_MA-TS_5-6_Reactant,37_MA-TS_5-6,37_MA-TS_5-6_Product,-1729.83060419,-1729.81244523,-1729.83366915,-1729.478996,-1729.466141,-1729.485561,11.39,13.32,-1.92,8.07,12.19,-4.12
38_MA-TS_5-6_Reactant,38_MA-TS_5-6,38_MA-TS_5-6_Product,-1712.83397481,-1712.80550946,-1712.81659256,-1712.481646,-1712.451795,-1712.460202,17.86,6.95,10.91,18.73,5.28,13.46
41_MA-TS_5-6_Reactant,41_MA-TS_5-6,41_MA-TS_5-6_Product,-1845.24822438,-1845.21945506,-1845.22499849,-1844.857262,-1844.831492,-1844.834293,18.05,3.48,14.57,16.17,1.76,14.41
42_MA-TS_5-6_Reactant,42_MA-TS_5-6,42_MA-TS_5-6_Product,-2190.2551676,-2190.24307827,-2190.24622003,-2189.690116,-2189.677778,-2189.679961,7.59,1.97,5.61,7.74,1.37,6.37
44_MA-TS_5-6_Reactant,44_MA-TS_5-6,44_MA-TS_5-6_Product,-2096.89151653,-2096.87848993,-2096.88966933,-2096.349381,-2096.336669,-2096.343811,8.17,7.02,1.16,7.98,4.48,3.5
46_MA-TS_7-8_Reactant,46_MA-TS_7-8,46_MA-TS_7-8_Product,-2838.34795802,-2838.33402892,-2838.34922053,-2837.629402,-2837.610503,-2837.626853,8.74,9.53,-0.79,11.86,10.26,1.6
